"","incident_id","occur_date","occur_time","borough","precinct","location_class","location_description","indoor_flag","latitude","longitude","victim_age_group","victim_sex","victim_race_ethnicity","perpetrator_age_group","perpetrator_sex","perpetrator_race_ethnicity","murder_flag"
"1",9953250,2006-01-01,"02:34:00","Queens",114,"Commercial","Bar/Night Club",NA,40.774860941,-73.9338325849999,"25-44","M","Black","25-44","M","Black",TRUE
"3",9953248,2006-01-01,"19:00:00","Queens",106,"Other","Other",NA,40.682396919,-73.840080724,"18-24","M","Black","18-24","M","Black",FALSE
"4",9953252,2006-01-01,"02:22:00","Manhattan",28,"Other","Other",NA,40.807700364,-73.94738576,"25-44","M","Black","25-44","M","Black",TRUE
"5",9953245,2006-01-01,"02:00:00","Bronx",48,"Other","Other",NA,40.8577698220001,-73.89460746,"<18","M","Black","18-24","M","Black",FALSE
"6",9953246,2006-01-01,"05:51:00","Bronx",44,"Other","Other",NA,40.8359904010001,-73.9162763589999,"18-24","M","White Hispanic","25-44","M","White Hispanic",FALSE
"7",139716503,2006-01-01,"12:30:00","Brooklyn",77,"Housing","Private House",NA,40.672154209,-73.9560515049999,"25-44","M","Black",NA,NA,NA,TRUE
"8",9953247,2006-01-01,"03:30:00","Brooklyn",67,NA,NA,NA,40.651013998,-73.945706517,"18-24","M","Black",NA,NA,NA,FALSE
"9",9953255,2006-01-02,"03:59:00","Brooklyn",70,"Commercial","Bar/Night Club",NA,40.6472579680001,-73.955695606,"18-24","M","Black","18-24","M","Black",FALSE
"11",9953257,2006-01-02,"10:53:00","Staten Island",120,"Housing","Apartment Building",NA,40.6377678210001,-74.076481753,"18-24","M","Black","18-24","M","Black",FALSE
"12",9953249,2006-01-02,"00:49:00","Brooklyn",90,"Housing","Public Multi-Unit Residence",NA,40.7109881160001,-73.942948326,"25-44","M","Black",NA,NA,NA,TRUE
"13",10038625,2006-01-03,"16:25:00","Brooklyn",73,"Commercial","Clothing Boutique",NA,40.668495933,-73.909946905,"25-44","M","Black","18-24","M","Black Hispanic",TRUE
